START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,date,time,day to night
2016-01-01 21:11:00,2016-01-01 21:17:00,Business,Fort Pierce,Fort Pierce,5.1,Meal/Entertain,2016-01-01,21:11,Night
2016-01-02 01:25:00,2016-01-02 01:37:00,Business,Fort Pierce,Fort Pierce,5.0,NOT,2016-01-02,01:25,Night
2016-01-02 20:25:00,2016-01-02 20:38:00,Business,Fort Pierce,Fort Pierce,4.8,Errand/Supplies,2016-01-02,20:25,Night
2016-01-05 17:31:00,2016-01-05 17:45:00,Business,Fort Pierce,Fort Pierce,4.7,Meeting,2016-01-05,17:31,Day
2016-01-06 14:42:00,2016-01-06 15:49:00,Business,Fort Pierce,West Palm Beach,63.7,Customer Visit,2016-01-06,14:42,Day
2016-01-06 17:15:00,2016-01-06 17:19:00,Business,West Palm Beach,West Palm Beach,4.3,Meal/Entertain,2016-01-06,17:15,Day
2016-01-06 17:30:00,2016-01-06 17:35:00,Business,West Palm Beach,Palm Beach,7.1,Meeting,2016-01-06,17:30,Day
2016-01-07 13:27:00,2016-01-07 13:33:00,Business,Cary,Cary,0.8,Meeting,2016-01-07,13:27,Day
2016-01-10 08:05:00,2016-01-10 08:25:00,Business,Cary,Morrisville,8.3,Meeting,2016-01-10,08:05,Day
2016-01-10 12:17:00,2016-01-10 12:44:00,Business,Jamaica,New York,16.5,Customer Visit,2016-01-10,12:17,Day
2016-01-10 15:08:00,2016-01-10 15:51:00,Business,New York,Queens,10.8,Meeting,2016-01-10,15:08,Day
2016-01-10 18:18:00,2016-01-10 18:53:00,Business,Elmhurst,New York,7.5,Meeting,2016-01-10,18:18,Night
2016-01-10 19:12:00,2016-01-10 19:32:00,Business,Midtown,East Harlem,6.2,Meeting,2016-01-10,19:12,Night
2016-01-11 08:55:00,2016-01-11 09:21:00,Business,East Harlem,NoMad,6.4,Temporary Site,2016-01-11,08:55,Day
2016-01-11 11:56:00,2016-01-11 12:03:00,Business,Flatiron District,Midtown,1.6,Errand/Supplies,2016-01-11,11:56,Day
2016-01-11 13:32:00,2016-01-11 13:46:00,Business,Midtown,Midtown East,1.7,Meal/Entertain,2016-01-11,13:32,Day
2016-01-11 14:30:00,2016-01-11 14:43:00,Business,Midtown East,Midtown,1.9,Meal/Entertain,2016-01-11,14:30,Day
2016-01-12 12:33:00,2016-01-12 12:49:00,Business,Midtown,Hudson Square,1.9,Meal/Entertain,2016-01-12,12:33,Day
2016-01-12 12:53:00,2016-01-12 13:09:00,Business,Hudson Square,Lower Manhattan,4.0,Meal/Entertain,2016-01-12,12:53,Day
2016-01-12 14:42:00,2016-01-12 14:56:00,Business,Lower Manhattan,Hudson Square,1.8,Errand/Supplies,2016-01-12,14:42,Day
2016-01-12 15:13:00,2016-01-12 15:28:00,Business,Hudson Square,Hell's Kitchen,2.4,Customer Visit,2016-01-12,15:13,Day
2016-01-12 15:42:00,2016-01-12 15:54:00,Business,Hell's Kitchen,Midtown,2.0,Errand/Supplies,2016-01-12,15:42,Day
2016-01-12 16:02:00,2016-01-12 17:00:00,Business,New York,Queens County,15.1,Meeting,2016-01-12,16:02,Day
,,Business,Downtown,Gulfton,11.2,Meeting,,,Night
,,Business,Gulfton,Downtown,11.8,Meeting,,,Night
,,Business,Houston,Houston,21.9,Customer Visit,,,Night
,,Business,Eagan Park,Jamestown Court,3.9,Errand/Supplies,,,Night
,,Business,Morrisville,Cary,8.0,Errand/Supplies,,,Night
,,Business,Cary,Durham,10.4,Meal/Entertain,,,Night
,,Business,Durham,Cary,10.4,Meal/Entertain,,,Night
,,Business,Cary,Cary,4.8,Meal/Entertain,,,Night
,,Business,Farmington Woods,Whitebridge,4.7,Meal/Entertain,,,Night
,,Business,Whitebridge,Lake Wellingborough,7.2,NOT,,,Night
,,Business,Lake Wellingborough,Whitebridge,7.6,Temporary Site,,,Night
,,Business,Cary,Raleigh,17.1,Meeting,,,Night
,,Business,Fayetteville Street,Umstead,15.1,Meeting,,,Night
,,Business,Raleigh,Cary,40.2,Customer Visit,,,Night
,,Business,Cary,Cary,1.6,Errand/Supplies,,,Night
,,Business,Cary,Cary,2.4,Meal/Entertain,,,Night
,,Business,Cary,Cary,1.0,Meal/Entertain,,,Night
,,Business,Whitebridge,Hazelwood,2.0,Meal/Entertain,,,Night
,,Business,Hazelwood,Whitebridge,2.3,Errand/Supplies,,,Night
,,Business,Whitebridge,Westpark Place,1.9,Errand/Supplies,,,Night
,,Business,Cary,Cary,1.4,Errand/Supplies,,,Night
,,Business,Cary,Cary,0.5,Errand/Supplies,,,Night
,,Business,Cary,Cary,1.8,Meeting,,,Night
,,Business,Cary,Raleigh,18.7,Customer Visit,,,Night
,,Business,Fairmont,Meredith Townes,3.4,Customer Visit,,,Night
,,Business,Raleigh,Raleigh,2.7,Customer Visit,,,Night
,,Business,Raleigh,Cary,12.9,Customer Visit,,,Night
,,Business,Cary,Raleigh,19.0,Temporary Site,,,Night
,,Business,Meredith Townes,Leesville Hollow,14.7,Meeting,,,Night
,,Business,Raleigh,Cary,15.7,Meeting,,,Night
,,Business,Cary,Cary,4.6,Customer Visit,,,Night
,,Business,Cary,Cary,5.2,Meeting,,,Night
,,Business,Cary,Durham,10.4,Meeting,,,Night
,,Business,Durham,Cary,10.1,Meeting,,,Night
,,Business,Cary,Apex,5.8,Errand/Supplies,,,Night
,,Business,Apex,Cary,5.5,Meal/Entertain,,,Night
,,Business,Cary,Apex,5.7,Errand/Supplies,,,Night
,,Business,Apex,Cary,5.7,Customer Visit,,,Night
2016-02-01 10:35:00,2016-02-01 11:15:00,Business,Cary,Chapel Hill,19.4,Customer Visit,2016-02-01,10:35,Day
2016-02-01 12:10:00,2016-02-01 12:43:00,Business,Chapel Hill,Cary,23.3,Customer Visit,2016-02-01,12:10,Day
2016-02-01 12:56:00,2016-02-01 13:07:00,Business,Northwoods,Whitebridge,3.9,Meal/Entertain,2016-02-01,12:56,Day
